Company,Quarter,Market Value
Citigroup,"First, 2006",238935.0
Citigroup,"Third, 2006",246727.0
Citigroup,"Second, 2006",239862.0
ExxonMobil,"Fourth, 2006",446943.0
ExxonMobil,"Third, 2006",398906.0
ExxonMobil,"First, 2006",371631.0
ExxonMobil,"Second, 2006",371187.0
Gazprom,"Second, 2006",246341.0
Gazprom,"Fourth, 2006",271482.0
Gazprom,"First, 2006",196339.0
Gazprom,"Third, 2006",254634.3
General Electric,"Fourth, 2006",383564.0
General Electric,"First, 2006",362527.0
General Electric,"Second, 2006",342731.0
General Electric,"Third, 2006",364414.0
HSBC,"Second, 2006",201854.0
HSBC,"Third, 2006",209774.0
ICBC,"Fourth, 2006",254592.0
Microsoft,"Third, 2006",272679.0
Microsoft,"Second, 2006",237688.0
Microsoft,"Fourth, 2006",293537.0
Microsoft,"First, 2006",281171.0
Pfizer,"Third, 2006",206785.0
Royal Dutch Shell,"Fourth, 2006",225781.0
Royal Dutch Shell,"First, 2006",211280.0
Royal Dutch Shell,"Second, 2006",224925.0
Royal Dutch Shell,"Third, 2006",216368.0
Toyota,"First, 2006",196731.0
Toyota,"Fourth, 2006",241161.0
Walmart,"First, 2006",196860.0
Walmart,"Second, 2006",200762.0
